,path,label,interval
0,/path/to/AdvReverb/data/MFA/LibriSpeech/000.flac,HE COULD WAIT NO LONGER,"[(8480, 11680, 'çiːkʰ'), (11680, 16320, 'ʊdwej'), (16320, 20000, 'tnow'), (20000, 23680, 'lɒ'), (23680, 28160, 'ŋɡɚ')]"
1,/path/to/AdvReverb/data/MFA/LibriSpeech/001.flac,PRIDE AFTER SATISFACTION UPLIFTED HIM LIKE LONG SLOW WAVES,"[(7200, 11680, 'pɹaj'), (11680, 15200, 'dæft'), (15200, 19040, 'ɚsæ'), (19040, 22720, 'tʲɪsf'), (22720, 26880, 'æcʃ'), (26880, 31040, 'ənɐ'), (31040, 34400, 'pʲʎ'), (34400, 37600, 'ɪftʲɪ'), (37600, 41120, 'dçɪ'), (41120, 45600, 'mlaj'), (45600, 48960, 'kl'), (48960, 52320, 'ɒ'), (52320, 57600, 'ŋs'), (57600, 63840, 'low'), (63840, 67200, 'w'), (67200, 72000, 'ej'), (72000, 76320, 'vz')]"
2,/path/to/AdvReverb/data/MFA/LibriSpeech/002.flac,WHOSE FEET ARE AS THE FEET OF HARTS AND UNDERNEATH THE EVERLASTING ARMS,"[(4320, 7680, 'hʉː'), (7680, 12480, 'zfʲiː'), (12480, 16320, 'tɑ'), (16320, 19840, 'ɹ'), (19840, 23360, 'æs'), (23360, 27200, 'ðəfʲ'), (27200, 30560, 'iːtə'), (30560, 33920, 'vhɑ'), (33920, 37120, 'ɹt'), (37120, 42240, 'sæ'), (42240, 45760, 'ndɐ'), (45760, 50560, 'ndɚɲ'), (50560, 55200, 'iθ'), (55200, 59200, 'ð'), (59200, 63200, 'iːʔɛv'), (63200, 67360, 'ɚlæ'), (67360, 71040, 'stʲɪ'), (71040, 76160, 'ŋɑ'), (76160, 80960, 'ɹm')]"
3,/path/to/AdvReverb/data/MFA/LibriSpeech/003.flac,THEN HE COMES TO THE BEAK OF IT,"[(8320, 12160, 'ðɛ'), (12160, 16000, 'nçiːkʰ'), (16000, 19200, 'ɐmz'), (19200, 23680, 'təðəbʲ'), (23680, 27520, 'iːkə')]"
4,/path/to/AdvReverb/data/MFA/LibriSpeech/004.flac,IT MUST REMEMBER BE ONE OR THE OTHER,"[(8320, 11520, 'ɪtm'), (11520, 15040, 'ɐs'), (15040, 18720, 'tɹɪm'), (18720, 23360, 'ɛmbɚ'), (23360, 27360, 'bʲiːw'), (27360, 30560, 'ɐn'), (30560, 33920, 'ɒɹ'), (33920, 37920, 'ðiːɐ'), (37920, 42080, 'ðɚ')]"
5,/path/to/AdvReverb/data/MFA/LibriSpeech/005.flac,DO NOT THEREFORE THINK THAT THE GOTHIC SCHOOL IS AN EASY ONE,"[(8320, 13440, 'dʉːnɑ'), (13440, 17280, 'ʔðɛɹ'), (17280, 21760, 'fɒ'), (21760, 32640, 'ɹθ'), (32640, 36160, 'ɪŋkðæ'), (36160, 39680, 'tðəɡ'), (39680, 43360, 'ɑθ'), (43360, 46720, 'ɪks'), (46720, 50080, 'kʉːɫ'), (50080, 54720, 'ɪzæniː'), (54720, 58720, 'ziw'), (58720, 62080, 'ɐn')]"
6,/path/to/AdvReverb/data/MFA/LibriSpeech/006.flac,COME THEREFORE AND LET US FLING MUD AT THEM,"[(4960, 9600, 'kʰɐm'), (9600, 12800, 'ðɛɹ'), (12800, 16000, 'fɒ'), (16000, 19520, 'ɹæn'), (19520, 22880, 'lɛʔɐ'), (22880, 26720, 'sfʲ'), (26720, 31360, 'ʎɪŋ'), (31360, 34720, 'mɐdæ'), (34720, 39040, 'ɾðɛ')]"
7,/path/to/AdvReverb/data/MFA/LibriSpeech/007.flac,YE MAY NOT SEE HIS WORSHIP NOW,"[(5440, 9120, 'jiːm'), (9120, 13760, 'ejnɑ'), (13760, 17440, 'ʔs'), (17440, 21280, 'iːç'), (21280, 24960, 'ɪzw'), (24960, 28320, 'ɝʃ'), (28320, 31520, 'ɪp'), (31520, 36800, 'naw')]"
8,/path/to/AdvReverb/data/MFA/LibriSpeech/008.flac,MOTHER CRIED SHE I SEE YOU HERE LOOK LOOK,"[(3680, 6880, 'mɐð'), (6880, 11040, 'ɚk'), (11040, 16000, 'ɹajdʃ'), (16000, 20640, 'iːʔaj'), (20640, 25600, 'siː'), (25600, 28960, 'jʉːç'), (28960, 33600, 'ɪɹ'), (33600, 38240, 'lʊ'), (38240, 41440, 'k'), (41440, 47040, 'l'), (47040, 51200, 'ʊk')]"
9,/path/to/AdvReverb/data/MFA/LibriSpeech/009.flac,OJO EXAMINED THIS CURIOUS CONTRIVANCE WITH WONDER,"[(8640, 11840, 'ow'), (11840, 15680, 'dʒow'), (15680, 21120, 'ɪɡzæ'), (21120, 24320, 'mʲɪn'), (24320, 29280, 'dðɪs'), (29280, 32640, 'cʰʊ'), (32640, 35840, 'ɹi'), (35840, 39360, 'əskʰ'), (39360, 42720, 'ənt'), (42720, 46880, 'ɹajv'), (46880, 50720, 'n̩sw'), (50720, 53920, 'ɪðw'), (53920, 57280, 'ɐnd'), (57280, 60640, 'ɚ')]"
10,/path/to/AdvReverb/data/MFA/LibriSpeech/010.flac,THE HEAD OF THE PATCHWORK GIRL WAS THE MOST CURIOUS PART OF HER,"[(7040, 10880, 'ðəh'), (10880, 14240, 'ɛdə'), (14240, 17760, 'ðəpʰ'), (17760, 21280, 'ætʃ'), (21280, 24640, 'wɝk'), (24640, 28800, 'ɡɝɫ'), (28800, 32320, 'wəzð'), (32320, 36160, 'əmow'), (36160, 40480, 'stcʰ'), (40480, 44160, 'ʊɹ'), (44160, 47360, 'iəs'), (47360, 50720, 'pʰɑɹ'), (50720, 54400, 'ʔəvh'), (54400, 57600, 'ɝ')]"
11,/path/to/AdvReverb/data/MFA/LibriSpeech/011.flac,NO I FORGOT ALL ABOUT THE BRAINS EXCLAIMED THE WOMAN,"[(5600, 12960, 'now'), (12960, 16800, 'ajf'), (16800, 21120, 'ɚɡɑ'), (21120, 24480, 'ʔɑːɫ'), (24480, 28640, 'əbaw'), (28640, 32479, 'ʔðəb'), (32479, 37600, 'ɹej'), (37600, 42080, 'nz'), (42080, 45920, 'ɛk'), (45920, 49280, 'skl'), (49280, 52480, 'ejmdð'), (52480, 56640, 'əwʊm')]"
12,/path/to/AdvReverb/data/MFA/LibriSpeech/012.flac,LET US RETRACE OUR STEPS AND EXAMINE AS WE GO WITH KEENER EYES,"[(4320, 7840, 'lɛʔə'), (7840, 12960, 'sɹit'), (12960, 16800, 'ɹejs'), (16800, 21120, 'ɑɹs'), (21120, 24640, 'tɛp'), (24640, 31200, 'sæ'), (31200, 36160, 'ndɪɡz'), (36160, 39360, 'æmʲ'), (39360, 43360, 'ɪnejz'), (43360, 47040, 'wiːɡ'), (47040, 51520, 'ow'), (51520, 54880, 'w'), (54880, 60320, 'ɪθcʰ'), (60320, 65600, 'iːnɚ'), (65600, 71200, 'aj'), (71200, 74720, 'z')]"
13,/path/to/AdvReverb/data/MFA/LibriSpeech/013.flac,IT WOULD HAVE BEEN MORE WONDERFUL HAD HE SPOKEN WITHOUT A BIDDING,"[(7360, 11200, 'ɪʔ'), (11200, 14720, 'wʊdh'), (14720, 17920, 'ævbɛ'), (17920, 22240, 'nmɒ'), (22240, 25920, 'ɹwɐ'), (25920, 29760, 'ndɚf'), (29760, 33600, 'ɫ̩hæd'), (33600, 38080, 'iːsp'), (38080, 41600, 'owk'), (41600, 45280, 'n̩wɪ'), (45280, 48800, 'ðawʔ'), (48800, 52800, 'əbʲɪ'), (52800, 57280, 'dʲɪŋ')]"
14,/path/to/AdvReverb/data/MFA/LibriSpeech/014.flac,THE EXAMINATION HOWEVER RESULTED IN NO DISCOVERY,"[(5600, 8960, 'ðiːɪɡ'), (8960, 12320, 'zæ'), (12320, 17120, 'mʲɪɲej'), (17120, 21120, 'ʃən'), (21120, 24480, 'haw'), (24480, 27680, 'ɛvɚ'), (27680, 31200, 'ɹɪz'), (31200, 34560, 'ɐɫtʲ'), (34560, 37760, 'ɪdɪn'), (37760, 40960, 'nowdʲ'), (40960, 44640, 'ɪsk'), (44640, 48000, 'ɐvə'), (48000, 51840, 'ɹi')]"
15,/path/to/AdvReverb/data/MFA/LibriSpeech/015.flac,I WAS ABSENT RATHER MORE THAN AN HOUR,"[(4000, 8320, 'ʔajwəz'), (8320, 11840, 'æb'), (11840, 16160, 'zɛn'), (16160, 19520, 'tɹ'), (19520, 22720, 'ɑðɚ'), (22720, 26400, 'mɒɹ'), (26400, 30080, 'ðænæn'), (30080, 35840, 'awɹ')]"
16,/path/to/AdvReverb/data/MFA/LibriSpeech/016.flac,THE PROOF WAS IN THREE LONG SLIPS I HAD LEFT THEM ALL TOGETHER,"[(2240, 5600, 'ðəp'), (5600, 9760, 'ɹʉf'), (9760, 13120, 'wəzɪ'), (13120, 16640, 'nθ'), (16640, 20480, 'ɹiː'), (20480, 24000, 'lɒ'), (24000, 27520, 'ŋs'), (27520, 31040, 'ʎɪp'), (31040, 42880, 'sʔ'), (42880, 46240, 'ajhæd'), (46240, 49440, 'lɛf'), (49440, 53760, 'tðɛmɒː'), (53760, 56960, 'ɫtʰ'), (56960, 60640, 'ʊɟɛ'), (60640, 64959, 'ðɚ')]"
17,/path/to/AdvReverb/data/MFA/LibriSpeech/017.flac,A BROKEN TIP OF LEAD WAS LYING THERE ALSO,"[(5600, 8960, 'əbɹ'), (8960, 12640, 'owkn̩'), (12640, 16000, 'tʰɪp'), (16000, 19680, 'əvl'), (19680, 23200, 'ɛd'), (23200, 28000, 'wəzlaj'), (28000, 32159, 'ɪŋðɛɹ'), (32159, 36960, 'ɒɫs')]"
18,/path/to/AdvReverb/data/MFA/LibriSpeech/018.flac,WHY SHOULD HE NOT BE AS OTHER MEN,"[(2400, 6240, 'waj'), (6240, 9600, 'ʃʊd'), (9600, 13440, 'çiːn'), (13440, 16960, 'ɑɾ'), (16960, 20640, 'bʲiːej'), (20640, 24800, 'zɐ'), (24800, 28480, 'ðɚm'), (28480, 33760, 'ɛn')]"
